name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/sthagen/subtractor;1;0;0;63jsxngpxk1knxz6lrxs.json;https://github.com/sthagen/subtractor/blob/a446ee0579876f9060a0f55d7aa305a1e38bf293/etc/sbom/cdx.json;etc/sbom/cdx.json;4;0;0;0;1;0;5.65;JSON;CycloneDX
github.com/sthagen/suhteita;1;0;0;ilbg3t5vvpsxxnameh4d.yaml;https://github.com/sthagen/suhteita/blob/5eb5777424f91c627b8ef05c7059bfb3ca4864d7/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;4;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/suhteita;1;0;0;1r06exznv1o4ktqceq43.json;https://github.com/sthagen/suhteita/blob/5eb5777424f91c627b8ef05c7059bfb3ca4864d7/etc/sbom/spdx.json;etc/sbom/spdx.json;4;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/suhteita;1;0;0;l1t34ngo2527u25p66h6.spdx;https://github.com/sthagen/suhteita/blob/5eb5777424f91c627b8ef05c7059bfb3ca4864d7/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/suhteita;1;0;0;se0e9b78uzd6d5cju8xn.json;https://github.com/sthagen/suhteita/blob/5eb5777424f91c627b8ef05c7059bfb3ca4864d7/etc/sbom/cdx.json;etc/sbom/cdx.json;4;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/swid-lint;1;0;0;rzfpmrl4nwgn5q9682rh.yaml;https://github.com/sthagen/swid-lint/blob/017c4a25309436ba080c3d66658ecf1bd7351760/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;3;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/swid-lint;1;0;0;06wqml0vfxi7g19n3ygn.json;https://github.com/sthagen/swid-lint/blob/017c4a25309436ba080c3d66658ecf1bd7351760/etc/sbom/spdx.json;etc/sbom/spdx.json;3;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/swid-lint;1;0;0;7dyi3aun2hvrux4f4jsq.spdx;https://github.com/sthagen/swid-lint/blob/017c4a25309436ba080c3d66658ecf1bd7351760/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/swid-lint;1;0;0;lyfynidp1n2tl5k6jxeq.json;https://github.com/sthagen/swid-lint/blob/017c4a25309436ba080c3d66658ecf1bd7351760/etc/sbom/cdx.json;etc/sbom/cdx.json;3;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/synkronoida;0;0;0;nxibt6lm4zmxtpsu95tg.yaml;https://github.com/sthagen/synkronoida/blob/91e3577d02e90a44ec2ebf95d5e3d4e97a4c9cc3/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;1;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/synkronoida;0;0;0;eoqzl9b0rnfu092f3yl2.json;https://github.com/sthagen/synkronoida/blob/91e3577d02e90a44ec2ebf95d5e3d4e97a4c9cc3/etc/sbom/spdx.json;etc/sbom/spdx.json;1;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/synkronoida;0;0;0;bv081zzhwg4nrpv296gg.spdx;https://github.com/sthagen/synkronoida/blob/91e3577d02e90a44ec2ebf95d5e3d4e97a4c9cc3/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/synkronoida;0;0;0;bhkdn6jzl8nzp8og07q0.json;https://github.com/sthagen/synkronoida/blob/91e3577d02e90a44ec2ebf95d5e3d4e97a4c9cc3/etc/sbom/cdx.json;etc/sbom/cdx.json;1;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/taksonomia;2;0;0;g8xmo3hu6z4bsgo7rx0a.yaml;https://github.com/sthagen/taksonomia/blob/5d20fe2503259c69f2b51838cace7ac133fa5bd1/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;5;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/taksonomia;2;0;0;lsezf0d2b4yka5jn8mv1.json;https://github.com/sthagen/taksonomia/blob/5d20fe2503259c69f2b51838cace7ac133fa5bd1/etc/sbom/spdx.json;etc/sbom/spdx.json;5;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/taksonomia;2;0;0;ap7ebn7myk4eavkxnub0.spdx;https://github.com/sthagen/taksonomia/blob/5d20fe2503259c69f2b51838cace7ac133fa5bd1/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/taksonomia;2;0;0;772g9jy4mm0axx4d3p9z.json;https://github.com/sthagen/taksonomia/blob/5d20fe2503259c69f2b51838cace7ac133fa5bd1/etc/sbom/cdx.json;etc/sbom/cdx.json;5;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/tallipoika;0;0;0;c982mov4bafkhk0sad0m.yaml;https://github.com/sthagen/tallipoika/blob/6eef9062b7530df61354155f9f092b7849386be4/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;0;0;0;0;0;0;3.7;YAML;SPDX
